tract_geoid,walk_block_group_count,walk_tot_pop,walk_households,walk_housing_units,walk_workers,walk_land_acres,nat_walk_index,d2a_jobs_housing_mix,d2b_employment_mix,d3b_intersection_density,d4a_commute_mode_split,d2a_ranked,d2b_ranked,d3b_ranked,d4a_ranked
06073016702,4.0,8101.0,2851.0,2920.0,3552.0,825.5961881999999,14.51139950894423,0.6703543491019878,0.710543081882466,75.175143690889,499.0217853384777,15.315327955103472,15.323746054016135,11.972290424412487,16.2423710978604
06073016802,4.0,7236.0,2610.0,2781.0,3013.0,7411.6021553,8.334291187739462,0.3950080671190011,0.5855548049987894,33.11875794999393,-43551.06914942529,7.959770114942529,11.229118773946361,7.563218390804598,7.845210727969349
06073016804,4.0,7829.0,2604.0,2782.0,3571.0,1019.5699353,12.59773425499232,0.5430729380369824,0.7176443584166851,90.48584854815437,-30851.614082181255,11.399769585253456,16.16973886328725,12.120967741935484,11.887480798771122
06073016806,3.0,4691.0,1476.0,1496.0,1964.0,377.1534249,12.594399277326108,0.44914450439752046,0.5100939352444938,109.5198019923539,707.7077845528456,8.655149051490515,8.61720867208672,14.989159891598916,14.157859078590786
06073016807,4.0,7412.0,2375.0,2515.0,3528.0,1303.4282842,9.534526315789474,0.3641695160600908,0.6027916667070891,55.32414158026055,-37671.54265684211,6.613052631578947,12.083789473684211,10.21221052631579,9.042947368421054
06073016809,3.0,5755.0,1838.0,1881.0,2777.0,1396.6304506,10.173558215451578,0.5917674994756084,0.518057546329677,52.67106270597952,-37496.34542437432,13.065288356909685,10.092491838955386,9.831338411316649,9.11044613710555
06073016810,1.0,3100.0,891.0,925.0,1484.0,569.6900383999999,6.499999999999999,0.4159361535272587,0.6480004574566199,37.837839082706346,-99999.0,8.0,13.0,8.0,1.0
06073016811,2.0,4826.0,1613.0,1690.0,2355.0,812.5186678,12.017772266997312,0.35098645866582023,0.6387849040650241,77.26172472415537,810.6618908865469,6.096094234345939,12.971481711097335,12.163670179789213,14.35585864848109
06073016901,4.0,7291.0,2303.0,2619.0,2920.0,10489.8847522,6.25951657258648,0.5883813759811403,0.5477390208925433,22.102424095867114,-99999.0,12.895788102475032,10.038645245332175,6.31133304385584,1.0
06073016902,1.0,2898.0,855.0,905.0,1046.0,29992.8067446,3.5000000000000004,0.48499974215497677,0.23002818894333799,3.2164298867217127,-99999.0,10.0,3.0,3.0,1.0
06073017006,2.0,3014.0,1023.0,1040.0,1287.0,635.8036202,8.681818181818182,0.2516401945042437,0.6433581476913593,49.43713637902044,-42042.37303030303,3.8484848484848486,13.272727272727273,9.0,8.484848484848484
06073017009,2.0,4737.0,1470.0,1546.0,1967.0,862.6792264999999,11.010204081632653,0.597110328061639,0.7388895674083932,55.56508339021918,-45534.22602040816,13.13265306122449,16.70408163265306,10.081632653061224,8.03061224489796
06073017010,2.0,3288.0,998.0,1024.0,1613.0,3771.1332057,7.0838343353373405,0.3799432048918902,0.7314003573902796,42.31757404841606,-99999.0,7.0,16.749498997995993,8.376753507014028,1.0
06073017014,2.0,2475.0,1509.0,1657.0,906.0,495.8783032,13.40788601722995,0.5701720375005068,0.5147940570305781,103.12474308994985,748.470735586481,12.238568588469185,11.238568588469185,14.455268389662027,14.029821073558647
06073017015,4.0,7763.0,3153.0,3236.0,3391.0,1174.2738091,8.96992282482292,0.501970808880085,0.4678580783932143,76.39853775206196,-70986.70240405963,9.965746907706945,8.353631462099587,12.0907072629242,5.659372026641294
06073017018,2.0,4276.0,1683.0,1747.0,2178.0,445.23688789999994,13.74212715389186,0.5715354782186028,0.6893032029360978,71.59741972834755,489.0487878787879,12.290552584670232,14.48425430778372,11.548425430778371,16.29055258467023
06073017019,3.0,6402.0,2934.0,3064.0,2210.0,1556.2365413,7.736991592819814,0.26983762858137145,0.5262451456006119,67.2752249634911,-68157.39459781868,4.907634628493525,9.650647580095432,11.148602590320381,4.783231083844581
06073017020,2.0,3608.0,1258.0,1335.0,1688.0,7108.698573899999,7.001854795972442,0.4707470231371485,0.7470200971361484,32.14383920097624,-99999.0,9.637519872813991,15.890302066772655,7.241653418124006,1.0
06073017021,2.0,3398.0,1070.0,1077.0,1503.0,7958.984252799999,5.247352024922118,0.36550914484544644,0.6308199197397629,12.248340483294434,-99999.0,6.3065420560747665,12.564485981308412,5.3065420560747665,1.0
06073017022,6.0,5708.0,2204.0,2204.0,2506.0,1103.4336985,11.116228070175438,0.6221533439986034,0.5580925954079531,65.72513799865919,-37704.720898366606,13.751814882032669,11.637023593466425,11.005444646098004,9.648820326678766
06073017029,2.0,9211.0,3024.0,3508.0,2781.0,7567.9771664,8.607142857142858,0.7161226507484586,0.7454129500742486,36.882064725457006,-99999.0,16.642857142857142,17.0,8.0,1.0
06073017030,4.0,23397.0,7884.0,8040.0,8728.0,8245.944448,7.542744799594114,0.38064169669526565,0.7536918759126503,52.476029061507134,-93972.82860476915,7.02029426686961,15.995180111618469,9.342212075088787,1.778285134449518
06073017031,3.0,4125.0,1401.0,1483.0,2111.0,261.5617746,12.185819652629077,0.45066099174041596,0.4935891229751891,82.47888833705777,523.2893932905067,9.222698072805139,8.321912919343326,12.202712348322626,15.582441113490365
06073017032,2.0,15878.0,4478.0,4568.0,6066.0,2462.2193015000003,10.625874646419534,0.7319123307257602,0.7388640715851621,70.04491743616546,-76352.35197186244,16.183564091112103,17.0,11.234702992407325,4.0511389012952215
06073017033,3.0,4893.0,1590.0,1606.0,2419.0,2278.9425134,8.585953878406709,0.4047728036087875,0.5783948133576544,50.81085891608924,-50178.945088050314,7.5251572327044025,10.838364779874214,8.979874213836478,7.59622641509434
06073017034,3.0,5172.0,1717.0,1751.0,2488.0,659.4859313,6.586876334692293,0.3532632766186555,0.5322401762133719,66.26165550057216,-99999.0,6.083284799068142,9.603377984857309,10.917297612114153,1.0
06073017035,3.0,3358.0,1166.0,1217.0,1468.0,577.166296,11.362635791881074,0.40185593808697223,0.4510464689688004,83.35931626751145,622.4276586620925,7.537735849056604,7.1406518010291595,12.10548885077187,14.643224699828474
06073017036,3.0,3661.0,1172.0,1215.0,1707.0,244.82865679999998,10.786973833902161,0.4786474081380111,0.6744556234564382,120.90931780341442,-68999.4173890785,10.332764505119455,14.121160409556314,15.458191126279864,4.675767918088737
06073017037,4.0,5776.0,2037.0,2118.0,2637.0,783.4298086999999,8.8073146784487,0.3167792395256884,0.6968333790174567,32.44646167494181,-45252.41351006382,6.244477172312224,15.289641629847816,7.735886107020128,7.91899852724595
06073017039,3.0,7604.0,2803.0,2849.0,3319.0,1190.2399285,10.779521940777737,0.5100403101242532,0.6780739843924275,51.68862387969528,-43644.36428112736,10.97145915090974,15.270424545130217,9.23296468069925,9.984659293613985
06073017040,3.0,4551.0,1386.0,1424.0,2183.0,729.5264262999999,13.053751803751803,0.645982014444088,0.7260952617537623,76.0484639776077,-31138.796219336222,14.265512265512266,16.494227994227995,11.963203463203463,11.818181818181818
06073017041,4.0,5829.0,1990.0,2125.0,3079.0,768.0708139999999,11.849413735343383,0.4474390430344236,0.5868250347957193,112.87594768494884,-32053.12164321608,9.692462311557788,12.257286432160804,14.576381909547738,9.996984924623115
06073017042,3.0,8045.0,2712.0,2743.0,3618.0,1413.4725395,12.946349557522124,0.47180263634093156,0.7751468618865067,159.2228701352391,-26083.654380530978,10.312684365781712,17.462758112094395,12.747787610619469,12.20353982300885
06073017043,2.0,6581.0,2170.0,2208.0,2827.0,750.1812682,8.23225806451613,0.722631926526179,0.6403743028095535,45.640966435293514,-99999.0,16.94147465437788,13.196774193548388,8.627649769585254,1.0
06073017044,2.0,5696.0,1836.0,1919.0,2758.0,596.7334036999999,8.922294843863472,0.3064804021160625,0.7263744320426103,108.61038411017682,-99999.0,5.067538126361656,16.466230936819173,15.0,1.0
06073017045,1.0,2714.0,846.0,858.0,1374.0,481.89194899999995,7.333333333333333,0.2746373594867133,0.7763477960129266,53.14784787989891,-99999.0,4.0,18.0,10.0,1.0
06073017046,2.0,3778.0,1367.0,1420.0,1788.0,811.1027847999999,6.742379907339672,0.3659796668261307,0.6350397212279218,48.605253306250766,-99999.0,6.091441111923921,14.179956108266277,9.09144111192392,1.0
06073017047,3.0,4091.0,1402.0,1426.0,1878.0,526.0741703,7.529125059438896,0.3321979627605364,0.6246288038140618,77.41077643706699,-99999.0,5.765335235378031,12.813124108416547,12.2981455064194,1.0
06073017048,4.0,7199.0,2117.0,2209.0,3037.0,934.6152256,12.50188946622579,0.5256914029399652,0.7058800305249061,86.40633465187241,-19029.83167217761,11.26216343882853,14.94615021256495,12.229097779877184,12.172413793103448
06073017049,2.0,3248.0,964.0,972.0,1574.0,2665.6661213,7.081604426002766,0.5078512207998954,0.5194772996039632,60.37243604270401,-99999.0,10.903526970954356,8.882780082987551,10.351659751037344,1.0
06073017050,2.0,3101.0,1066.0,1066.0,1531.0,1228.9528384,13.696998123827392,0.6292251919502968,0.8039096381096743,52.718575858276054,628.9151031894934,14.136960600375234,18.77298311444653,9.590994371482177,15.045028142589118
06073017051,3.0,5079.0,2004.0,2166.0,1994.0,613.9204442,10.424817032601464,0.41295944700792503,0.5428289254612434,101.54947798611818,-36984.17569361278,7.956586826347305,10.541417165668662,13.534431137724551,8.491017964071856
06073017052,3.0,5480.0,2193.0,2252.0,2338.0,543.0879937,8.015655874753001,0.3041169720127829,0.667057347390444,85.32030501807722,-99999.0,5.772457820337437,14.440036479708162,12.940720474236207,1.0
06073017053,2.0,3187.0,1049.0,1098.0,1502.0,1313.432869,7.755481410867491,0.46201723898700303,0.7550735111619867,46.552283609056346,-99999.0,8.978074356530028,17.46711153479504,9.043851286939942,1.0
06073017054,4.0,5963.0,1868.0,2048.0,2580.0,1661.9869399000002,7.712437544610991,0.5228601738246099,0.4224535268910081,51.631618663417456,-71812.98925053533,10.920770877944326,7.979122055674519,9.340471092077088,4.346895074946467
06073017055,3.0,5231.0,1899.0,1978.0,2629.0,509.18859180000004,13.147446024223278,0.5973657512069007,0.7555967245291182,97.07597133083362,-30780.92167983149,13.268562401263823,17.5318588730911,14.108478146392839,9.933649289099526
06073017056,2.0,4442.0,1809.0,1914.0,2119.0,687.77814,13.591210613598673,0.6420348501280793,0.8200975437927391,48.19871778291562,702.0333499170813,14.001658374792703,18.63681592039801,9.271973466003317,15.182421227197347
06073017104,2.0,3848.0,1421.0,1487.0,1887.0,542.4173643,12.70619282195637,0.5437336982136484,0.7017024899156723,70.55694503287019,1090.182378606615,11.532019704433498,15.294862772695286,11.705137227304714,13.0
06073017106,4.0,4786.0,1587.0,2101.0,1113.0,7388.825465699999,7.459252257929007,0.6769776773818577,0.7620846228826935,13.680743748964142,-99999.0,15.175173282923755,16.67548834278513,5.452425960932577,1.0
06073017107,2.0,2932.0,1022.0,1031.0,1334.0,466.48402849999997,11.981245923026746,0.49005985714277717,0.6324294041996459,65.39798043062505,852.5293933463797,10.33757338551859,12.516634050880626,10.88747553816047,13.629158512720156
06073017108,4.0,4785.0,1675.0,1700.0,2158.0,518.8820777,12.263880597014925,0.49675204039677423,0.642334421476141,109.5665592819191,-31400.902865671644,9.979701492537313,13.380298507462687,14.943283582089553,10.168358208955224
06073017109,4.0,6755.0,2219.0,2358.0,2762.0,1089.073482,12.621000450653447,0.49916837914717443,0.6456444164956506,87.91177973864,731.0686750788644,10.346552501126634,13.329878323569176,11.816584046867959,14.20820189274448
06073017110,3.0,11591.0,3808.0,4083.0,4225.0,11427.670764999999,6.835127801120448,0.49573882806462577,0.7980202289594227,15.254770694104872,-99999.0,9.810399159663865,18.480829831932773,5.3597689075630255,1.0
06073017200,4.0,4316.0,2128.0,2683.0,1645.0,1085.8779848,16.18796992481203,0.7402893944890145,0.6172549658058003,167.55587683067643,441.8455686090226,16.893327067669173,12.463815789473685,17.529605263157894,16.355733082706767
06073017303,3.0,2760.0,1060.0,1327.0,1195.0,664.572979,12.069811320754717,0.6221538598844032,0.6727316791694221,80.32774472287576,-34510.80631132075,13.683018867924527,14.330188679245284,12.576415094339623,9.626415094339622
06073017304,4.0,6094.0,2622.0,3229.0,2372.0,674.5180127,16.880244088482073,0.792198351182829,0.8094585803316431,164.9545426041864,566.8314759725401,17.94279176201373,18.279176201372998,17.25247902364607,15.277269260106788
06073017305,3.0,3247.0,1355.0,1417.0,1248.0,979.2938707999999,7.8370233702337035,0.3870757524632773,0.6363680538503528,80.88170258178796,-99999.0,7.000738007380074,13.216974169741697,12.402214022140221,1.0
06073017306,2.0,2586.0,1121.0,1307.0,1115.0,1161.6109225,12.027653880463868,0.7726051951946515,0.6598783170272435,71.30431183141852,-30858.644192685104,17.783229259589653,13.783229259589652,11.099910793933988,9.199821587867975
