GEOID,NAMELSAD,tract_area_sq_mile,transit_stop_count,transit_stops_per_sq_mile,has_transit_access,large_tract_flag
06073005900,Census Tract 59,0.1618707312024877,8,49.422152729962164,1,0
06073020500,Census Tract 205,0.8040733436877904,4,4.974670571287015,1,0
06073019001,Census Tract 190.01,63.71380980629815,0,0.0,0,1
06073009505,Census Tract 95.05,6.770901960511394,2,0.29538162148325414,1,0
06073003208,Census Tract 32.08,0.5253613056726513,11,20.937971413627515,1,0
06073013414,Census Tract 134.14,1.10776823707583,3,2.70814769695788,1,0
06073013415,Census Tract 134.15,0.44813660091139546,8,17.851699646335607,1,0
06073013416,Census Tract 134.16,0.8516407041855043,9,10.567836830447716,1,0
06073013417,Census Tract 134.17,0.7775685146594532,1,1.2860603035578977,1,0
06073013418,Census Tract 134.18,0.6997427548475312,2,2.858193223359326,1,0
06073018517,Census Tract 185.17,0.7494935014871009,11,14.676578220057207,1,0
06073018518,Census Tract 185.18,0.3823344198368446,11,28.77062443055502,1,0
06073018519,Census Tract 185.19,0.5998330257068607,13,21.672697972373932,1,0
06073018601,Census Tract 186.01,1.697499997904824,0,0.0,0,0
06073008303,Census Tract 83.03,1.7011773865730166,1,0.5878281758814566,1,0
06073006200,Census Tract 62,1.4012472339316078,15,10.704749052680109,1,0
06073012200,Census Tract 122,0.6842132946080338,12,17.53839057873679,1,0
06073020706,Census Tract 207.06,6.441915106942251,8,1.241866722425238,1,0
06073000700,Census Tract 7,0.3011789282973283,8,26.562283242147277,1,0
06073000800,Census Tract 8,0.24474466647757073,4,16.3435635087336,1,0
06073013505,Census Tract 135.05,1.0521316596711072,15,14.256770872847747,1,0
06073013506,Census Tract 135.06,2.630808704019787,7,2.6607787899227473,1,0
06073013604,Census Tract 136.04,1.3889571732507284,5,3.5998230156355024,1,0
06073013802,Census Tract 138.02,0.27330801223057155,4,14.635502147758002,1,0
06073018609,Census Tract 186.09,0.5080433465634748,7,13.778351881487383,1,0
06073001000,Census Tract 10,0.3278478444133464,15,45.75293159801347,1,0
06073001100,Census Tract 11,0.3613745578379404,8,22.137695713453148,1,0
06073001400,Census Tract 14,0.28816068794165284,7,24.292001972931747,1,0
06073001500,Census Tract 15,0.3062862364579888,2,6.529839613848683,1,0
06073013905,Census Tract 139.05,0.851276375840575,0,0.0,0,0
06073013907,Census Tract 139.07,0.5173811743019857,0,0.0,0,0
06073013908,Census Tract 139.08,0.4358913772366827,12,27.529794409041898,1,0
06073013909,Census Tract 139.09,0.4170172612993839,4,9.591929090744115,1,0
06073014001,Census Tract 140.01,0.7186475867333457,9,12.523523582553198,1,0
06073019206,Census Tract 192.06,0.558030128843283,9,16.128161428587592,1,0
06073019404,Census Tract 194.04,0.43141935764467554,5,11.589651487354184,1,0
06073019405,Census Tract 194.05,0.4292595608144919,11,25.625521256016338,1,0
06073019406,Census Tract 194.06,0.7687800660508525,5,6.5038106745984035,1,0
06073014002,Census Tract 140.02,0.8174815190394553,11,13.455961686968841,1,0
06073014101,Census Tract 141.01,0.5186575276288556,5,9.64027269180586,1,0
06073014102,Census Tract 141.02,0.4624580617377648,8,17.298865912162153,1,0
06073014200,Census Tract 142,0.8776866551242852,14,15.951022974158725,1,0
06073014601,Census Tract 146.01,0.5615878405249831,16,28.490645354861837,1,0
06073015704,Census Tract 157.04,0.36396407989337337,11,30.222762650705945,1,0
06073019501,Census Tract 195.01,0.3005617190572367,12,39.92524409841697,1,0
06073001600,Census Tract 16,0.26570752871923603,8,30.10829252208854,1,0
06073001700,Census Tract 17,0.2449251214759091,4,16.331521960247105,1,0
06073019502,Census Tract 195.02,0.2975513510749542,6,20.164586644705167,1,0
06073019804,Census Tract 198.04,0.983669029697027,6,6.099612592101246,1,0
06073019805,Census Tract 198.05,0.5611471714767157,16,28.513019067519092,1,0
06073021302,Census Tract 213.02,147.57523074988853,7,0.04743343421812869,1,1
