GEOID,NAMELSAD,school_count,elementary_school_count,middle_school_count,high_school_count,other_school_count,charter_school_count,tract_area_sq_mile,schools_per_sq_mile,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,ela_students_tested,ela_current_status,ela_status_level,ela_change,ela_change_level,math_students_tested,math_current_status,math_status_level,math_change,math_change_level,academic_strength_score,academic_strength_tier
06073013324,Census Tract 133.24,0,0,0,0,0,0,0.15628633819595045,0.0,Chula Vista Elementary,Elementary,PK,12,0.9999999999999999,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073009000,Census Tract 90,2,1,0,1,0,1,0.4756193820842943,4.205043098192199,San Diego Unified,Unified,PK,12,1.0,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073009101,Census Tract 91.01,2,1,0,1,0,0,1.0734640874058285,1.8631270700757872,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008368,Census Tract 83.68,3,2,1,0,0,0,1.020314974182472,2.9402685209082144,Poway Unified,Unified,PK,12,1.0000000000000007,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073017057,Census Tract 170.57,0,0,0,0,0,0,1.1533761420260202,0.0,Poway Unified,Unified,PK,12,1.0000000000000002,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073021502,Census Tract 215.02,4,2,1,1,0,0,4.1314695509188155,0.9681785017901009,San Dieguito Union High,High,07,12,0.9584630395243225,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
06073008371,Census Tract 83.71,1,1,0,0,0,0,0.8089274227430814,1.2362048459291806,Del Mar Union Elementary,Elementary,KG,06,0.9547201404008144,2108,81.6,5,4.5,4,2143,77.7,5,0.5,3,5.0,high
06073008373,Census Tract 83.73,0,0,0,0,0,0,1.2049404691757037,0.0,Del Mar Union Elementary,Elementary,KG,06,0.9999910152986525,2108,81.6,5,4.5,4,2143,77.7,5,0.5,3,5.0,high
06073017201,Census Tract 172.01,0,0,0,0,0,0,0.9537116148084378,0.0,San Dieguito Union High,High,07,12,0.5861859880133736,5480,80.1,5,8.2,4,5473,56.8,5,5.8,4,5.0,high
06073007911,Census Tract 79.11,0,0,0,0,0,0,0.13874060663570228,0.0,San Diego Unified,Unified,PK,12,1.0000000000000004,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073007601,Census Tract 76.01,0,0,0,0,0,0,7.103936130457783,0.0,San Diego Unified,Unified,PK,12,0.9253056359971393,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073008201,Census Tract 82.01,0,0,0,0,0,0,0.32360698013839806,0.0,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073020035,Census Tract 200.35,2,2,0,0,0,0,1.312606264782562,1.5236861606258654,Encinitas Union Elementary,Elementary,KG,06,0.9999999999999998,2514,46.9,5,2.8,3,2513,31.9,4,0.1,3,4.5,high
06073020032,Census Tract 200.32,0,0,0,0,0,0,1.6114062570936336,0.0,San Marcos Unified,Unified,KG,12,0.7131553258111889,9524,14.0,4,3.6,4,9545,-18.1,3,1.4,3,3.5,medium_high
